base,CRT2,CRT2+Core4,Core4,CRT2+Core3,Core3,CRT2+BCRT(all),NFC
netspeak,0.07611639756357896,0.1261564650401212,0.14044753740850865,0.12041787655395099,0.13261588666002838,0.11358929523597536,0.018941665568777452
reward,0.17660734477064552,0.1369969256316762,0.06276408390750036,0.16546114525899416,0.10427687623038734,0.09238502115137817,0.0045005093479256195
prep,-0.07006172724703602,-0.09365933877162318,-0.09132230472186088,-0.06280773240277718,-0.03631094038278808,-0.08858451593840717,-0.3177689919189924
work,0.11727604941785603,0.10611476431333308,0.06726341350606585,0.08226647338985589,0.01995347768616114,0.09520592917606917,0.2798079769426577
Conversation,0.10631705034028206,0.14955340010283286,0.15112952308808847,0.11912651421478235,0.09762457736814184,0.14021441454440786,0.007043272910540188
shehe,0.018928401510922316,0.08101649127180609,0.11880838701100173,0.10848782647597936,0.1732095135408166,0.10557694472341403,-0.1662981888510027
QMark,0.14162585756915883,0.1718680594542856,0.1551029406827758,0.10349966455865216,0.03151004626253615,0.1530281492922745,-0.023185624699524322
wellness,-0.0906814535060521,-0.13000768892197814,-0.13304064930143328,-0.12563266259505065,-0.12616289321831797,-0.14834696124860602,0.05362553817536122
assent,0.14083605823806622,0.15538112731408948,0.12800001478814071,0.11487971320010344,0.05268290501665101,0.17947746720204,0.05803507008735673
you,0.14112176087958758,0.14118728984075396,0.1037442159323469,0.1464698381264925,0.1087750700731779,0.1020231871483471,0.10185363834483338
illness,0.05328861364736224,0.1428501563122544,0.1904619823693197,0.1278814525523854,0.1706475969369271,0.16587689764650335,-0.002713160093119102
emo_pos,0.17725579828408103,0.1599315141033881,0.1008964335219136,0.16425867092032198,0.10142815342200971,0.1338429230146616,-0.030842970164669494
time,-0.05411293020727724,-0.07829252363248246,-0.08059357907518694,-0.1410336454614258,-0.1932375302046448,-0.12582835913419332,0.19563404983706317
need,-0.030022355609601148,-0.1300310560174069,-0.1910285069032135,-0.11352635722358276,-0.1701985512901894,-0.0973339542174632,0.14618303812368358
food,-0.08149955853026125,-0.13493934932537793,-0.1501450909252148,-0.1355567039756618,-0.15381881402923447,-0.0452077515338848,-0.1909544751963742
allure,0.15816879647258655,0.15790702145186464,0.1157097596934893,0.1688373097165713,0.1302604730665249,0.14707485796666475,-0.035923201294342226
attention,0.03877829484479017,0.14884995632453124,0.21446153278365876,0.13417735440760306,0.1975926653143599,0.1442672853887372,-0.04142371671707418
affiliation,-0.012993724386987246,-0.15610773482702786,-0.25135707828506193,-0.11725242892916578,-0.1952809453148565,-0.11155709213038856,0.10510218447370885
death,-0.2862600813644786,-0.1813926508391264,-0.03302549621334623,-0.22017396262577515,-0.08328632857573937,-0.1783346259348298,-0.01951579099748395
verb,0.14106182935335831,0.15288238613108343,0.12356229151787992,0.16847078115763156,0.14812067268455822,0.1466386914793805,0.1230304155471552
acquire,-0.21660157861260354,-0.16699620217053426,-0.07524590309601964,-0.15617304501271873,-0.0444086578480732,-0.10262883079784152,-0.26972160275220086
fulfill,0.09716129686941608,0.1254830950958925,0.11920531759300902,0.1428106612943223,0.1498196584402525,0.14747393963253974,-0.27253010091236557
emo_anx,-0.24171646397949276,-0.14020077351293364,-0.005977986502648643,-0.19579529550465516,-0.08796923573476859,-0.1456401115955431,-0.2453532947665748
male,0.12442939960748635,0.1698861813326327,0.16818221166924024,0.19492343838798287,0.21335057422894524,0.19136834880930745,-0.019051509311824408
emo_neg,-0.1739575206052444,-0.15493093793949633,-0.09559800812043741,-0.187963512007693,-0.14732072703139626,-0.1791272634623966,-0.1484237900970397
i,-0.13974308269473998,-0.18151603837382058,-0.1732034533515248,-0.19072732123964148,-0.18928501724860064,-0.1523579191076018,-0.08137545605421766
number,0.040014575680348156,0.14507076150681394,0.206894916580597,0.12161370634242548,0.17382337440301512,0.16131579655524886,-0.2635367549934002
AllPunc,0.20086079776753318,0.2097138084432268,0.16246180701005056,0.1735982880853096,0.09255589141449519,0.184809058365715,0.10088979250008275
feeling,-0.1441026934229809,0.09054051550487308,0.2906464102619713,0.031975593000575904,0.21304969560272036,0.02829720452049392,-0.3367406602932531
memory,-0.29259072756227616,-0.18749940937628978,-0.03729614326855265,-0.23063309981053087,-0.09510863404778191,-0.15267707451803444,-0.15222020836505915
space,0.1559613778789007,0.15792524616453846,0.11784932726187762,0.18653932574447882,0.16425491318450453,0.22151500718523384,-0.1540508463026814
insight,-0.20907731781251104,-0.1858943381134646,-0.11436548421186234,-0.21337376810319467,-0.15467888457599221,-0.18570378220243347,0.12899255461716688
lack,-0.06482110921060655,-0.18095546511120678,-0.24383014475594048,-0.17166286488291707,-0.23633399961822474,-0.16818503380080546,0.13478709350758428
