dataset,family,base,set,predictor,beta,se,ci_lo,ci_hi,p_raw,model,n,z,p_adj,sig_adj
full,ToneAffect,emo_pos,crt2_plus_core4,crt2_plus_core4_total,0.01897456365559555,0.035271614879614464,-0.0501578015084488,0.0881069288196399,0.5906076840092698,binomial_cluster,477,0.5379556258015865,0.9119888121379969,False
full,ToneAffect,emo_neg,crt2_total,crt2_total,-0.03605295544443686,0.03636608644120931,-0.10733048486920711,0.03522457398033339,0.32149543623394694,binomial_cluster,477,-0.9913894777410632,0.6429908724678939,False
full,ToneAffect,emo_neg,bcrt_core3,bcrt_core3_total,0.013870991296395203,0.03589517744658875,-0.05648355649891876,0.08422553909170916,0.6991778668103713,binomial_cluster,477,0.3864304979975357,0.6991778668103713,False
full,ToneAffect,emo_neg,bcrt_core4,bcrt_core4_total,0.031054216182696607,0.02765904300218618,-0.023157508101588304,0.08526594046698152,0.2615432920972163,binomial_cluster,477,1.1227509274359952,0.5230865841944325,False
full,ToneAffect,emo_neg,crt2_plus_core3,crt2_plus_core3_total,-0.009668685440842104,0.022806426575784102,-0.05436928152937894,0.03503191064769474,0.6716054475728468,binomial_cluster,477,-0.4239456544721622,0.6716054475728468,False
full,ToneAffect,emo_neg,crt2_plus_core4,crt2_plus_core4_total,0.002155306375367492,0.019499686091792437,-0.036064078364545685,0.040374691115280664,0.9119888121379969,binomial_cluster,477,0.11053031137125209,0.9119888121379969,False
full,TimeFocus,focuspast,crt2_total,crt2_total,-0.02203070912766461,0.048554452545762114,-0.11719743611735835,0.07313601786202913,0.6500217279812917,binomial_cluster,477,-0.45373200546130915,0.8710141750419649,False
full,TimeFocus,focuspast,bcrt_core3,bcrt_core3_total,0.007578784647819447,0.03482838394974005,-0.06068484789367105,0.07584241718930994,0.8277379140232118,binomial_cluster,477,0.21760368378722936,0.8277379140232118,False
full,TimeFocus,focuspast,bcrt_core4,bcrt_core4_total,0.02359977812288487,0.027474945725414195,-0.03025111549892695,0.07745067174469669,0.3903646181762572,binomial_cluster,477,0.8589563145544338,0.3903646181762572,False
full,TimeFocus,focuspast,crt2_plus_core3,crt2_plus_core3_total,-0.006241110830138966,0.0269465803619446,-0.05905640833955038,0.04657418667927245,0.8168405549146026,binomial_cluster,477,-0.23161049551775392,0.8168405549146026,False
full,TimeFocus,focuspast,crt2_plus_core4,crt2_plus_core4_total,0.0033731284752649294,0.02410423768215693,-0.043871177381762654,0.05061743433229251,0.8887080047126796,binomial_cluster,477,0.13993923059271338,0.8887080047126796,False
