dataset,family,outcome,set,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,r2,n,p_adj,sig_raw,sig_adj
full,FunctionAnalytic,ipron_Q1,crt2_plus_core3,crt2_plus_core3_total,0.012526766721932278,0.09076528623516504,-0.1653731942989912,0.19042672774285577,0.008796033295151686,0.8902303412487874,0.0009428366249639719,237,0.92915478802027,False,False
full,FunctionAnalytic,ipron_Q1,crt2_plus_core3,seen_count,-0.019981632797260392,0.038771682770104766,-0.09597413102666574,0.05601086543214495,-0.031012327073427486,0.6062968229401382,0.0009428366249639719,237,0.8488155521161935,False,False
full,FunctionAnalytic,ipron_Q1,crt2_plus_core4,crt2_plus_core4_total,-0.00507129460226786,0.07917546149846938,-0.16025519913926783,0.15011260993473213,-0.003940759642502906,0.948929345297423,0.0008831333833840826,237,0.9988493934447222,False,False
full,FunctionAnalytic,ipron_Q1,crt2_plus_core4,seen_count,-0.01860724661375588,0.03875019877225583,-0.09455763620737731,0.05734314297986554,-0.02887922242274621,0.6310961744699386,0.0008831333833840826,237,0.8759521919723885,False,False
full,FunctionAnalytic,ipron_Q2,crt2_total,crt2_total,0.09352773578179922,0.1550102310851213,-0.2102923171450385,0.39734778870863696,0.035965193994507635,0.5462659532940846,0.0016430329720806824,240,0.7647723346117183,False,False
full,FunctionAnalytic,ipron_Q2,crt2_total,seen_count,-0.014855537335209702,0.04507246448798628,-0.1031975677316628,0.07348649306124341,-0.019361185998901898,0.7417080398637899,0.0016430329720806824,240,0.9433023190646359,False,False
full,FunctionAnalytic,ipron_Q2,bcrt_core3,bcrt_core3_total,0.03873954365980625,0.17956776677722172,-0.3132132792235483,0.3906923665431608,0.014434606965785272,0.8291921838603737,0.0005490394984868363,240,0.8929761980034794,False,False
full,FunctionAnalytic,ipron_Q2,bcrt_core3,seen_count,-0.016691713038158345,0.04581544800683289,-0.10648999113155082,0.07310656505523412,-0.021754269366353936,0.7156153344439662,0.0005490394984868363,240,0.7706626678627327,False,False
full,FunctionAnalytic,ipron_Q2,bcrt_core4,bcrt_core4_total,0.007047200556361599,0.14358624255248556,-0.2743818348465101,0.2884762359592333,0.0031020386379834604,0.9608556097519507,0.0003590327356527423,240,0.9615796986578761,False,False
full,FunctionAnalytic,ipron_Q2,bcrt_core4,seen_count,-0.014925578352388079,0.046128861162636245,-0.10533814623115512,0.07548698952637897,-0.019452470287752814,0.7462691395024529,0.0003590327356527423,240,0.8036744579257185,False,False
full,FunctionAnalytic,ipron_Q2,crt2_plus_core3,crt2_plus_core3_total,0.05572115786486426,0.0976361298068875,-0.13564565655663524,0.24708797228636376,0.03285551031277681,0.568201500967461,0.0014066772311105424,240,0.7323271068581595,False,False
full,FunctionAnalytic,ipron_Q2,crt2_plus_core3,seen_count,-0.01801539784909109,0.04517393478090947,-0.10655631001967365,0.07052551432149147,-0.023479424589628695,0.6900400443249542,0.0014066772311105424,240,0.8782327836863054,False,False
full,FunctionAnalytic,ipron_Q2,crt2_plus_core4,crt2_plus_core4_total,0.0365831841285293,0.0857401116581833,-0.13146743472150996,0.20463380297856854,0.02387167095067041,0.6696158752574544,0.0009028167350070282,240,0.7812185211336967,False,False
full,FunctionAnalytic,ipron_Q2,crt2_plus_core4,seen_count,-0.017517946809381985,0.04532908240275525,-0.10636294831878228,0.07132705470001831,-0.022831097848708477,0.6991548839281156,0.0009028167350070282,240,0.8759521919723885,False,False
full,FunctionAnalytic,prep_Q1,crt2_total,crt2_total,-0.023456546560365898,0.1845934234127948,-0.3852596564494437,0.33834656332871194,-0.0077659375406625005,0.8988838796384218,0.003208839102413097,237,0.8988838796384216,False,False
full,FunctionAnalytic,prep_Q1,crt2_total,seen_count,0.05046458801990854,0.054836306337787896,-0.05701457240215574,0.15794374844197281,0.05662629645618135,0.35742805810028644,0.003208839102413097,237,0.9433023190646359,False,False
full,FunctionAnalytic,prep_Q1,bcrt_core3,bcrt_core3_total,0.20216552895821632,0.20039308359599114,-0.1906049148899263,0.594935972806359,0.0648552896381287,0.31304905115140425,0.007104230397190214,237,0.6445042997486754,False,False
full,FunctionAnalytic,prep_Q1,bcrt_core3,seen_count,0.03751769969933107,0.05551284073816377,-0.07128746814746992,0.14632286754613205,0.04209859762830493,0.4991433630557349,0.007104230397190214,237,0.7170098832544239,False,False
full,FunctionAnalytic,prep_Q1,bcrt_core4,bcrt_core4_total,0.019618199657940354,0.16010310868066135,-0.29418389335615586,0.3334202926720366,0.007434941503639001,0.9024755007945763,0.0031998679782473394,237,0.9615796986578761,False,False
full,FunctionAnalytic,prep_Q1,bcrt_core4,seen_count,0.04860074015308708,0.05639417613986993,-0.061931845081057986,0.15913332538723216,0.05453487342080027,0.38879525088244626,0.0031998679782473394,237,0.7364842954642304,False,False
full,FunctionAnalytic,prep_Q1,crt2_plus_core3,crt2_plus_core3_total,0.0684324148989333,0.12217528985744618,-0.17103115322166118,0.3078959830195278,0.03474063760289981,0.5753998696742683,0.004311425557723236,237,0.7323271068581595,False,False
