dataset,family,outcome,set,predictor,beta,se,ci_lo,ci_hi,beta_std,p_raw,r2,n,p_adj,sig_raw,sig_adj
full,Motivation,want_Q2,crt2_plus_core4,seen_count,0.0066798678546688165,0.009350620330335537,-0.011647347992788836,0.02500708370212647,0.04607783966400407,0.47499410645291773,0.012929972558002212,240,0.6333254752705569,False,False
naive,Summary,Analytic_Q1,crt2_total,crt2_total,-0.7579654255319167,2.424367430783963,-5.509725589868484,3.9937947388046506,-0.03570111425087476,0.7545506771118903,0.0013000526384225886,51,0.8273771449899356,False,False
naive,Summary,Analytic_Q1,bcrt_core3,bcrt_core3_total,-3.917885514018689,2.5838429937409715,-8.982217781750993,1.1464467537136152,-0.17378475671891008,0.129443082963472,0.02965396804233933,51,0.517772331853888,False,False
naive,Summary,Analytic_Q1,bcrt_core4,bcrt_core4_total,-3.8768780339805837,2.3904923672707095,-8.562243073831175,0.8084870058700067,-0.19459620332202787,0.10484819330879186,0.0372679748083643,51,0.41939277323516744,False,False
naive,Summary,Analytic_Q1,crt2_plus_core3,crt2_plus_core3_total,-1.5075849010505722,1.4248337723085318,-4.300259094775295,1.2850892926741502,-0.11787218038617378,0.2900200008172613,0.013996505275427396,51,0.6722268415780766,False,False
naive,Summary,Analytic_Q1,crt2_plus_core4,crt2_plus_core4_total,-1.6002284803400642,1.32469310285786,-4.196626961941469,0.996170001261341,-0.13418087361408174,0.22704749113197342,0.01812750059429402,51,0.6054599763519292,False,False
naive,Summary,Analytic_Q2,crt2_total,crt2_total,-1.5272774698402365,2.9055721885327808,-7.222198959364487,4.167644019684014,-0.06237465031890791,0.5991401518055544,0.0038905970024062375,52,0.7988535357407391,False,False
naive,Summary,Analytic_Q2,bcrt_core3,bcrt_core3_total,-0.5582352941176477,3.6526906794844147,-7.7175090259071,6.601038437671805,-0.021470147786044856,0.8785335097700882,0.0004609672459547909,52,0.8785335097700882,False,False
naive,Summary,Analytic_Q2,bcrt_core4,bcrt_core4_total,-0.6327189204708608,2.9652132497796275,-6.444536890038931,5.179099049097209,-0.02753726789126563,0.8310301273049123,0.0007583011229155279,52,0.9301412497399153,False,False
naive,Summary,Analytic_Q2,crt2_plus_core3,crt2_plus_core3_total,-0.7339439119630842,1.7152132749574578,-4.095761930879702,2.627874106953533,-0.04975654475398805,0.668722164810854,0.0024757137458558676,52,0.8037000681844546,False,False
naive,Summary,Analytic_Q2,crt2_plus_core4,crt2_plus_core4_total,-0.708633744855965,1.5382048161304704,-3.7235151844716867,2.306247694759757,-0.051521470821451185,0.6450218850810492,0.0026544619556061466,52,0.7715292687688533,False,False
naive,Summary,Authentic_Q1,crt2_total,crt2_total,-2.103779920212766,2.9452101481482487,-7.876391810583333,3.668831970157801,-0.08675209471784431,0.4750382683381257,0.007676395379901502,51,0.7600612293410011,False,False
naive,Summary,Authentic_Q1,bcrt_core3,bcrt_core3_total,-3.1147546728971918,3.8136845466399,-10.589576384311396,4.360067038517012,-0.12095701885585505,0.4140821296299376,0.01436552835599958,51,0.8281642592598752,False,False
naive,Summary,Authentic_Q1,bcrt_core4,bcrt_core4_total,-0.2862469660194162,3.2651574607746117,-6.685955589137655,6.113461657098823,-0.012578834580120596,0.9301412497399153,0.00015572124944884802,51,0.9301412497399153,False,False
naive,Summary,Authentic_Q1,crt2_plus_core3,crt2_plus_core3_total,-1.7501661373075916,1.9773108540368804,-5.625695411219877,2.125363136604694,-0.11979980304430932,0.3760895260742748,0.014458032145749589,51,0.6722268415780766,False,False
naive,Summary,Authentic_Q1,crt2_plus_core4,crt2_plus_core4_total,-0.7727566418703516,1.8435171722137549,-4.386050299409311,2.8405370156686076,-0.05672815453659393,0.6750881101727466,0.003240067132923574,51,0.7715292687688533,False,False
naive,Summary,Authentic_Q2,crt2_total,crt2_total,-2.490886860123907,2.968569573508608,-8.30928322420078,3.3275095039529647,-0.10400468056690837,0.4014207320865656,0.010816973579824696,52,0.7600612293410011,False,False
naive,Summary,Authentic_Q2,bcrt_core3,bcrt_core3_total,-2.2891176470588284,3.98403060434547,-10.09781763157595,5.519582337458292,-0.09001078727281929,0.5655799078176629,0.00810194182547308,52,0.8785335097700882,False,False
naive,Summary,Authentic_Q2,bcrt_core4,bcrt_core4_total,-0.9998306057996028,3.167833410134126,-7.2087840896624895,5.209122878063284,-0.04448823322819696,0.752291188961583,0.001979202895766363,52,0.9301412497399153,False,False
naive,Summary,Authentic_Q2,crt2_plus_core3,crt2_plus_core3_total,-1.6407466572003377,2.03522316814958,-5.629784066773514,2.3482907523728387,-0.11372018925671441,0.42014177598629787,0.012932281444582694,52,0.6722268415780766,False,False
naive,Summary,Authentic_Q2,crt2_plus_core4,crt2_plus_core4_total,-1.1442345679012311,1.8148561974356263,-4.701352714875059,2.412883579072596,-0.08505310858591407,0.5283791307511578,0.007234031280127562,52,0.7715292687688533,False,False
naive,Summary,Clout_Q1,crt2_total,crt2_total,5.2669980053191505,2.08699516371522,1.1764874844373194,9.35750852620098,0.2743195189775415,0.011611933696176035,0.0767557317465638,51,0.09289546956940828,True,False
naive,Summary,Clout_Q1,bcrt_core3,bcrt_core3_total,3.2415537383177555,2.630502043620352,-1.9142302671781342,8.397337743813646,0.15899166097792708,0.2178390172618444,0.02482036406850574,51,0.5809040460315851,False,False
naive,Summary,Clout_Q1,bcrt_core4,bcrt_core4_total,2.735509708737865,2.1096564774515985,-1.399416987067268,6.870436404542998,0.151827928410305,0.19474778351083655,0.022686651551747095,51,0.5193274226955641,False,False
