base,Core4,Core3,CRT2+BCRT(all),CRT2+Core4,NFC,CRT2,CRT2+Core3
adj,0.17841556154819166,0.1501563069645073,0.11535446098854223,0.12325420733632386,-0.03040922918318257,0.004822299251077263,0.09804840410690355
affiliation,-0.19310337837701638,-0.20086245146457618,-0.08054286827124969,-0.06224262561500678,0.011661790792957876,0.11485645114030445,-0.05152884498976109
number,0.17863640884519874,0.17033105339417134,0.0963178060369915,0.07833880217939033,-0.11040424070193207,-0.07122145345347294,0.060879463062035954
auxverb,-0.21234807234541395,-0.18695272790427217,-0.10469986741472859,-0.11445697100304643,0.03784621110112613,0.04866161480989591,-0.08619151375810953
Comma,0.21749228037563473,0.16382380328053628,0.09925390271400028,0.10157673261204735,-0.08452318841164656,-0.07625403458364269,0.05346404178790984
memory,0.1786314436515331,0.12712335256165308,0.19832573847203247,0.1356025702574892,-0.039962010649290045,0.02541365611495523,0.0970107549648794
time,0.17705741337775596,0.09785954095411818,0.1371713073402465,0.16548148072126684,-0.03507718276924258,0.07762502586016545,0.1127921243735781
discrep,-0.22197987724822224,-0.18423485969125591,-0.08801057307604311,-0.09200182062378191,0.14549305009860994,0.09752121275020366,-0.05240130055742512
QMark,0.23911541155878657,0.16215685257134374,0.132335899464085,0.12514409106337301,-0.11964800425371162,-0.06110774571696206,0.062353153167600206
AllPunc,0.24433482777386412,0.172576982833589,0.13713268846970542,0.145191825658363,-0.10325419185511356,-0.03322166390112037,0.0872427786252107
quantity,0.19079566820776783,0.16938061561477769,0.17204578442627652,0.14728982107808045,-0.12982655943074894,0.031283805693163066,0.12756620839860647
socrefs,-0.25515068656582507,-0.24294902514237138,-0.1751713079788141,-0.16077907500264163,0.020733532824450354,0.019235092998826173,-0.14089164649126507
bcrt4_total,0.5838224639709045,0.6412364699875985,0.4434089154779318,0.49420693840401314,-0.03429910896397521,0.17032889416102528,0.5162920347077913
bcrt6_total,0.899953022597969,0.8402002741517504,0.8876331898988442,0.7817297463950698,-0.06660996175232922,0.29635773824259365,0.7242122445229189
combined10_total,0.79010681845894,0.7283155466450879,1.0,0.9472191404448635,0.011907890158413263,0.7029187357559681,0.9186526661837716
